STATEFIP,PUMA,PUMAName,State,hhNonEnglish,hhNonEngParEngChld,hhTotal,pctNonEnglish,pctNonEngParEngChld
06,09903,"Stanislaus County (Northeast)--Turlock, Riverbank, Oakdale & Waterford Cities PUMA; California",California,30208,10349,62836,48.1,16.5
06,08106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA; California",California,19079,6575,39934,47.8,16.5
25,03306,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",Massachusetts,21272,6922,41989,50.7,16.5
32,00406,"Las Vegas City (South Central) PUMA, Nevada",Nevada,24600,8469,51339,47.9,16.5
48,01906,"Collin County (Northwest)--Frisco City (East) & Prosper Town PUMA, Texas",Texas,23634,9768,59069,40,16.5
48,02304,"Dallas County (Southeast)--Dallas City (Southeast) PUMA, Texas",Texas,15981,6560,39866,40.1,16.5
53,11613,"King County (Southwest Central)--Kent City PUMA, Washington",Washington,20201,7690,46580,43.4,16.5
36,03801,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,55725,13140,80157,69.5,16.4
06,08512,"Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA, California",California,18567,6082,37624,49.3,16.2
12,08617,"Miami-Dade County (East Central)--South Miami City, Westchester & Coral Terrace PUMA; Florida",Florida,29328,5728,35340,83,16.2
20,01200,"Southwest Kansas--Dodge City, Garden City & Liberal City PUMA; Kansas",Kansas,21918,7914,48898,44.8,16.2
24,01006,"Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville PUMA; Maryland",Maryland,19990,6847,42176,47.4,16.2
09,00104,"Bridgeport Town PUMA, Connecticut",Connecticut,29059,8871,55153,52.7,16.1
48,02301,"Dallas County (Northeast)--Rowlett & Garland (Northeast) Cities PUMA, Texas",Texas,15379,5782,35946,42.8,16.1
48,02321,"Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA, Texas",Texas,24694,7301,45458,54.3,16.1
48,05304,"Austin City (Southeast) PUMA, Texas",Texas,27511,8489,52841,52.1,16.1
48,04636,"Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA, Texas",Texas,20438,6996,43582,46.9,16.1
06,03719,"Los Angeles County (Central)--Glendale City PUMA, California",California,53202,12106,75844,70.1,16
06,08511,"Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA, California",California,18121,6078,38089,47.6,16
